frame number,timestamp
0,2068.039
1,2068.139
2,2068.239
3,2068.339
4,2068.439
5,2068.539
6,2068.639
7,2068.739
8,2068.839
9,2068.939
10,2069.039
11,2069.139
12,2069.239
13,2069.339
14,2069.439
15,2069.539
16,2069.639
17,2069.739
18,2069.839
19,2069.939
20,2070.039
21,2070.139
22,2070.239
23,2070.339
24,2070.439
25,2070.539
26,2070.639
27,2070.739
28,2070.839
29,2070.939
30,2071.039
31,2071.139
32,2071.239
33,2071.339
34,2071.439
35,2071.539
36,2071.639
37,2071.739
38,2071.839
39,2071.939
40,2072.039
41,2072.139
42,2072.239
43,2072.339
44,2072.439
45,2072.539
46,2072.639
47,2072.739
48,2072.839
49,2072.939
50,2073.039
51,2073.139
52,2073.239
53,2073.339
54,2073.439
55,2073.539
56,2073.639
57,2073.739
58,2073.839
59,2073.939
60,2074.039
61,2074.139
62,2074.239
63,2074.339
64,2074.439
65,2074.539
66,2074.639
67,2074.739
68,2074.839
69,2074.939
70,2075.039
71,2075.139
72,2075.239
73,2075.339
74,2075.439
75,2075.539
76,2075.639
77,2075.739
78,2075.839
79,2075.94
80,2076.04
81,2076.14
82,2076.24
83,2076.34
84,2076.44
85,2076.54
86,2076.64
87,2076.74
88,2076.84
89,2076.94
90,2077.04
91,2077.14
92,2077.24
93,2077.34
94,2077.44
95,2077.54
96,2077.64
97,2077.74
98,2077.84
99,2077.94
100,2078.04
101,2078.14
102,2078.24
103,2078.34
104,2078.44
105,2078.54
106,2078.64
107,2078.74
108,2078.84
109,2078.94
110,2079.04
111,2079.14
112,2079.24
113,2079.34
114,2079.44
115,2079.541
116,2079.641
117,2079.741
118,2079.841
119,2079.941
120,2080.041
121,2080.141
122,2080.241
123,2080.341
124,2080.441
125,2080.541
126,2080.641
127,2080.741
128,2080.841
129,2080.941
130,2081.041
131,2081.141
132,2081.241
133,2081.341
134,2081.441
135,2081.541
136,2081.641
137,2081.741
138,2081.841
139,2081.941
140,2082.041
141,2082.141
142,2082.241
143,2082.341
144,2082.441
145,2082.541
146,2082.641
147,2082.741
148,2082.841
149,2082.941
150,2083.041
151,2083.141
152,2083.241
153,2083.341
154,2083.441
155,2083.541
156,2083.641
157,2083.741
158,2083.841
159,2083.941
160,2084.041
161,2084.141
162,2084.241
163,2084.341
164,2084.441
165,2084.541
166,2084.641
167,2084.741
168,2084.841
169,2084.941
170,2085.041
171,2085.141
172,2085.241
173,2085.341
174,2085.441
175,2085.541
176,2085.641
177,2085.741
178,2085.841
179,2085.941
180,2086.041
181,2086.141
182,2086.241
183,2086.341
184,2086.441
185,2086.541
186,2086.641
187,2086.741
188,2086.841
189,2086.941
190,2087.041
191,2087.141
192,2087.241
193,2087.341
194,2087.441
195,2087.541
196,2087.641
197,2087.741
198,2087.841
199,2087.941
200,2088.041
201,2088.141
202,2088.241
203,2088.341
204,2088.441
205,2088.541
206,2088.641
207,2088.741
208,2088.841
209,2088.941
210,2089.041
211,2089.141
212,2089.241
213,2089.341
214,2089.441
215,2089.541
216,2089.641
217,2089.741
218,2089.841
219,2089.941
220,2090.041
221,2090.141
222,2090.241
223,2090.341
224,2090.441
225,2090.541
226,2090.641
227,2090.741
228,2090.841
229,2090.941
230,2091.041
231,2091.141
232,2091.241
233,2091.341
234,2091.441
235,2091.541
236,2091.641
237,2091.741
238,2091.841
239,2091.941
240,2092.041
241,2092.141
242,2092.242
243,2092.342
244,2092.442
245,2092.542
246,2092.642
247,2092.742
248,2092.842
249,2092.942
250,2093.042
251,2093.142
252,2093.242
253,2093.342
254,2093.442
255,2093.542
256,2093.642
257,2093.742
258,2093.843
259,2093.943
260,2094.043
261,2094.143
262,2094.243
263,2094.343
264,2094.443
265,2094.543
266,2094.643
267,2094.743
268,2094.843
269,2094.943
270,2095.043
271,2095.143
272,2095.243
273,2095.343
274,2095.443
275,2095.543
276,2095.643
277,2095.743
278,2095.843
279,2095.943
280,2096.043
281,2096.143
282,2096.243
283,2096.343
284,2096.443
285,2096.543
286,2096.643
287,2096.743
288,2096.843
289,2096.943
290,2097.043
291,2097.143
292,2097.243
293,2097.343
294,2097.443
295,2097.543
296,2097.643
297,2097.743
298,2097.843
299,2097.943
300,2098.043
301,2098.143
302,2098.243
303,2098.343
304,2098.443
305,2098.543
306,2098.643
307,2098.743
308,2098.843
309,2098.943
310,2099.043
311,2099.143
312,2099.243
313,2099.343
314,2099.443
315,2099.543
316,2099.643
317,2099.743
318,2099.843
319,2099.943
320,2100.043
321,2100.143
322,2100.243
323,2100.343
324,2100.443
325,2100.543
326,2100.643
327,2100.743
328,2100.843
329,2100.943
330,2101.043
331,2101.143
332,2101.243
333,2101.343
334,2101.443
335,2101.543
336,2101.643
337,2101.743
338,2101.843
339,2101.943
340,2102.043
341,2102.144
342,2102.244
343,2102.344
344,2102.444
345,2102.544
346,2102.644
347,2102.744
348,2102.844
349,2102.944
350,2103.044
351,2103.144
352,2103.244
353,2103.344
354,2103.445
355,2103.545
356,2103.645
357,2103.745
358,2103.845
359,2103.945
360,2104.045
361,2104.145
362,2104.245
363,2104.345
364,2104.445
365,2104.545
366,2104.645
367,2104.745
368,2104.845
369,2104.945
370,2105.045
371,2105.145
372,2105.245
373,2105.345
374,2105.445
375,2105.545
376,2105.645
377,2105.745
378,2105.845
379,2105.945
380,2106.045
381,2106.145
382,2106.245
383,2106.345
384,2106.445
385,2106.545
386,2106.645
387,2106.745
388,2106.845
389,2106.945
390,2107.045
391,2107.145
392,2107.245
393,2107.345
394,2107.445
395,2107.545
396,2107.645
397,2107.745
398,2107.845
399,2107.945
400,2108.045
401,2108.145
402,2108.245
403,2108.345
404,2108.445
405,2108.545
406,2108.645
407,2108.745
408,2108.845
409,2108.945
410,2109.045
411,2109.145
412,2109.245
413,2109.345
414,2109.445
415,2109.545
416,2109.645
417,2109.745
418,2109.845
419,2109.945
420,2110.045
421,2110.145
422,2110.245
423,2110.345
424,2110.445
425,2110.545
426,2110.645
427,2110.746
428,2110.846
429,2110.946
430,2111.046
431,2111.146
432,2111.246
433,2111.346
434,2111.446
435,2111.546
436,2111.646
437,2111.746
438,2111.846
439,2111.946
440,2112.046
441,2112.146
442,2112.246
443,2112.346
444,2112.446
445,2112.546
446,2112.646
447,2112.746
448,2112.846
449,2112.946
450,2113.046
451,2113.146
452,2113.246
453,2113.346
454,2113.446
455,2113.55
456,2113.65
457,2113.75
458,2113.85
459,2113.95
460,2114.05
461,2114.15
462,2114.25
463,2114.35
464,2114.45
465,2114.55
466,2114.65
467,2114.75
468,2114.85
469,2114.95
470,2115.05
471,2115.15
472,2115.25
473,2115.35
474,2115.45
475,2115.55
476,2115.65
477,2115.75
478,2115.85
479,2115.95
480,2116.05
481,2116.15
482,2116.25
483,2116.35
484,2116.45
485,2116.55
486,2116.65
487,2116.75
488,2116.85
489,2116.95
490,2117.05
491,2117.15
492,2117.25
493,2117.35
494,2117.45
495,2117.55
496,2117.65
497,2117.75
498,2117.85
499,2117.95
500,2118.05
501,2118.15
502,2118.25
503,2118.35
504,2118.45
505,2118.55
506,2118.65
507,2118.75
508,2118.85
509,2118.95
510,2119.05
511,2119.15
512,2119.25
513,2119.35
514,2119.45
515,2119.55
516,2119.65
517,2119.75
518,2119.85
519,2119.95
520,2120.05
521,2120.15
522,2120.25
523,2120.35
524,2120.45
525,2120.55
526,2120.65
527,2120.752
528,2120.852
529,2120.952
530,2121.052
531,2121.152
532,2121.252
533,2121.352
534,2121.452
535,2121.552
536,2121.654
537,2121.754
538,2121.854
539,2121.954
540,2122.054
541,2122.154
542,2122.254
543,2122.354
544,2122.454
545,2122.554
546,2122.654
547,2122.754
548,2122.854
549,2122.954
550,2123.054
