frame number,timestamp
0,2068.039
1,2068.139
2,2068.239
3,2068.339
4,2068.439
5,2068.539
6,2068.639
7,2068.739
8,2068.839
9,2068.948
10,2069.053
11,2069.153
12,2069.253
13,2069.353
14,2069.453
15,2069.553
16,2069.653
17,2069.753
18,2069.853
19,2069.953
20,2070.053
21,2070.153
22,2070.253
23,2070.353
24,2070.453
25,2070.553
26,2070.653
27,2070.753
28,2070.853
29,2070.953
30,2071.053
31,2071.153
32,2071.253
33,2071.353
34,2071.453
35,2071.553
36,2071.653
37,2071.753
38,2071.853
39,2071.953
40,2072.053
41,2072.153
42,2072.253
43,2072.353
44,2072.453
45,2072.553
46,2072.653
47,2072.753
48,2072.853
49,2072.953
50,2073.053
51,2073.153
52,2073.253
53,2073.353
54,2073.453
55,2073.553
56,2073.653
57,2073.753
58,2073.853
59,2073.953
60,2074.053
61,2074.153
62,2074.253
63,2074.353
64,2074.453
65,2074.553
66,2074.653
67,2074.753
68,2074.853
69,2074.953
70,2075.053
71,2075.153
72,2075.253
73,2075.353
74,2075.453
75,2075.553
76,2075.653
77,2075.753
78,2075.853
79,2075.953
80,2076.053
81,2076.153
82,2076.253
83,2076.353
84,2076.453
85,2076.553
86,2076.653
87,2076.753
88,2076.853
89,2076.953
90,2077.053
91,2077.154
92,2077.254
93,2077.354
94,2077.454
95,2077.554
96,2077.654
97,2077.754
98,2077.854
99,2077.954
100,2078.054
101,2078.154
102,2078.254
103,2078.354
104,2078.454
105,2078.554
106,2078.654
107,2078.754
108,2078.854
109,2078.954
110,2079.054
111,2079.154
112,2079.254
113,2079.354
114,2079.454
115,2079.554
116,2079.654
117,2079.754
118,2079.854
119,2079.954
120,2080.054
121,2080.154
122,2080.254
123,2080.354
124,2080.454
125,2080.554
126,2080.654
127,2080.754
128,2080.854
129,2080.954
130,2081.054
131,2081.154
132,2081.254
133,2081.354
134,2081.454
135,2081.554
136,2081.654
137,2081.754
138,2081.855
139,2081.955
140,2082.055
141,2082.155
142,2082.255
143,2082.355
144,2082.455
145,2082.555
146,2082.655
147,2082.755
148,2082.855
149,2082.955
150,2083.055
151,2083.155
152,2083.255
153,2083.355
154,2083.455
155,2083.555
156,2083.655
157,2083.755
158,2083.855
159,2083.955
160,2084.055
161,2084.155
162,2084.255
163,2084.355
164,2084.455
165,2084.555
166,2084.655
167,2084.755
168,2084.855
169,2084.955
170,2085.055
171,2085.155
172,2085.255
173,2085.355
174,2085.455
175,2085.555
176,2085.655
177,2085.755
178,2085.855
179,2085.955
180,2086.055
181,2086.155
182,2086.255
183,2086.355
184,2086.455
185,2086.555
186,2086.656
187,2086.756
188,2086.856
189,2086.956
190,2087.056
191,2087.156
192,2087.256
193,2087.356
194,2087.456
195,2087.556
196,2087.656
197,2087.756
198,2087.856
199,2087.956
200,2088.056
201,2088.156
202,2088.256
203,2088.356
204,2088.456
205,2088.556
206,2088.656
207,2088.756
208,2088.856
209,2088.956
210,2089.056
211,2089.156
212,2089.256
213,2089.356
214,2089.456
215,2089.556
216,2089.656
217,2089.756
218,2089.856
219,2089.956
220,2090.056
221,2090.156
222,2090.256
223,2090.39
224,2090.49
225,2090.59
226,2090.69
227,2090.79
228,2090.89
229,2090.99
230,2091.09
231,2091.19
232,2091.29
233,2091.39
234,2091.49
235,2091.59
236,2091.69
237,2091.79
238,2091.89
239,2091.99
240,2092.09
241,2092.19
242,2092.29
243,2092.39
244,2092.49
245,2092.59
246,2092.69
247,2092.79
248,2092.89
249,2092.99
250,2093.09
251,2093.19
252,2093.29
253,2093.39
254,2093.49
255,2093.59
256,2093.69
257,2093.79
258,2093.89
259,2093.99
260,2094.09
261,2094.19
262,2094.29
263,2094.39
264,2094.49
265,2094.59
266,2094.69
267,2094.791
268,2094.891
269,2094.991
270,2095.091
271,2095.191
272,2095.291
273,2095.391
274,2095.491
275,2095.591
276,2095.691
277,2095.791
278,2095.899
279,2095.999
280,2096.099
281,2096.199
282,2096.299
283,2096.399
284,2096.499
285,2096.599
286,2096.699
287,2096.799
288,2096.899
289,2096.999
290,2097.099
291,2097.199
292,2097.299
293,2097.399
294,2097.499
295,2097.599
296,2097.699
297,2097.799
298,2097.899
299,2097.999
300,2098.099
301,2098.199
302,2098.299
303,2098.399
304,2098.499
305,2098.599
306,2098.699
307,2098.799
308,2098.899
309,2098.999
310,2099.099
311,2099.199
312,2099.299
313,2099.399
314,2099.499
315,2099.599
316,2099.699
317,2099.799
318,2099.899
319,2099.999
320,2100.099
321,2100.199
322,2100.299
323,2100.399
324,2100.499
325,2100.599
326,2100.699
327,2100.799
328,2100.899
329,2100.999
330,2101.099
331,2101.199
332,2101.299
333,2101.399
334,2101.499
335,2101.599
336,2101.699
337,2101.799
338,2101.899
339,2101.999
340,2102.099
341,2102.199
342,2102.299
343,2102.399
344,2102.499
345,2102.599
346,2102.699
347,2102.799
348,2102.899
349,2102.999
350,2103.099
351,2103.199
352,2103.299
353,2103.399
354,2103.499
355,2103.599
356,2103.699
357,2103.799
358,2103.9
359,2104.0
360,2104.1
361,2104.2
362,2104.3
363,2104.4
364,2104.5
365,2104.6
366,2104.7
367,2104.8
368,2104.9
369,2105.0
370,2105.1
371,2105.2
372,2105.3
373,2105.4
374,2105.5
375,2105.6
376,2105.7
377,2105.8
378,2105.9
379,2106.0
380,2106.1
381,2106.2
382,2106.3
383,2106.4
384,2106.5
385,2106.6
386,2106.7
387,2106.8
388,2106.9
389,2107.0
390,2107.1
391,2107.2
392,2107.3
393,2107.4
394,2107.5
395,2107.6
396,2107.7
397,2107.8
398,2107.9
399,2108.0
400,2108.1
401,2108.2
402,2108.3
403,2108.4
404,2108.5
405,2108.6
406,2108.702
407,2108.804
408,2108.904
409,2109.067
410,2109.167
411,2109.267
412,2109.367
413,2109.467
414,2109.567
415,2109.667
416,2109.767
417,2109.867
418,2109.967
419,2110.067
420,2110.167
421,2110.267
422,2110.367
423,2110.467
424,2110.567
425,2110.667
426,2110.767
427,2110.867
428,2110.967
429,2111.067
430,2111.167
431,2111.267
432,2111.367
433,2111.467
434,2111.567
435,2111.667
436,2111.767
437,2111.867
438,2111.967
439,2112.067
440,2112.167
441,2112.267
442,2112.367
443,2112.467
444,2112.567
445,2112.667
446,2112.767
447,2112.867
448,2112.967
449,2113.067
450,2113.167
451,2113.267
452,2113.367
453,2113.467
454,2113.567
455,2113.667
456,2113.767
457,2113.867
458,2113.967
459,2114.067
460,2114.167
461,2114.267
462,2114.367
463,2114.467
464,2114.567
465,2114.667
466,2114.767
467,2114.867
468,2114.967
469,2115.067
470,2115.167
471,2115.267
472,2115.367
473,2115.467
474,2115.567
475,2115.667
476,2115.767
477,2115.867
478,2115.967
479,2116.067
480,2116.167
481,2116.267
482,2116.367
483,2116.467
484,2116.567
485,2116.667
486,2116.767
487,2116.867
488,2116.967
489,2117.067
490,2117.167
491,2117.267
492,2117.367
493,2117.467
494,2117.567
495,2117.667
496,2117.768
497,2117.868
498,2117.968
499,2118.068
500,2118.168
501,2118.268
502,2118.368
503,2118.468
504,2118.568
505,2118.668
506,2118.768
507,2118.868
508,2118.968
509,2119.068
510,2119.168
511,2119.268
512,2119.368
513,2119.468
514,2119.568
515,2119.668
516,2119.768
517,2119.868
518,2119.968
519,2120.068
520,2120.168
521,2120.268
522,2120.368
523,2120.468
524,2120.568
525,2120.668
526,2120.768
527,2120.868
528,2120.968
529,2121.068
530,2121.168
531,2121.268
532,2121.368
533,2121.468
534,2121.568
535,2121.668
536,2121.768
537,2121.868
538,2121.968
539,2122.068
540,2122.168
541,2122.268
542,2122.368
543,2122.468
544,2122.568
545,2122.668
546,2122.768
547,2122.868
548,2122.968
549,2123.068
550,2123.168
