10.536,7.2531
19.041,15.751
1.6238,7.1914
-7.716,5.5508
7.9529,-15.24
-7.0041,-14.59
6.6896,-26.413
5.307,-4.5452
18.234,8.0462
-5.3169,-5.0576
29.645,7.0769
22.561,-4.7951
15.994,-3.9165
-26.164,-14.997
38.066,-27.801
-14.725,9.599
33.221,-5.6063
10.849,-19.545
24.383,7.2315
-16.697,9.0301
23.956,19.944
12.337,10.922
26.477,-3.2262
16.268,25.597
51.47,-23.226
45.054,-3.5124
25.176,-25.931
15.205,32.736
32.805,16.944
22.568,-31.125
49.106,-10.39
57.289,-17.713
36.543,7.5509
37.313,-2.7904
43.248,41.689
52.598,-4.8793
55.121,-2.9579
47.788,-2.2743
59.576,-9.6235
56.46,-6.356
63.696,-2.051
72.002,-4.579
58.021,-1.5698
65.415,-4.8004
68.702,-0.92288
70.057,31.723
79.286,-0.38761
98.27,-4.2036
90.864,-22.913
103.17,15.726
89.974,0.25402
109.38,-24.106
101.83,22.67
108.9,-7.7271
100.51,0.86738
94.382,28.926
111.1,1.4342
100.56,-29.262
99.745,36.635
86.034,34.095
104.87,23.859
121.7,1.8508
117.07,34.287
144.01,14.405
132.29,2.4538
144.36,-8.5273
141.61,12.977
153.42,1.1845
137.17,12.954
141.98,-8.6214
160.36,15.228
145.69,-5.9965
174.65,4.0116
170.85,0.63088
145.32,-26.92
185.69,4.1245
190.7,-11.921
195.07,15.7
198.57,-20.535
184.02,17.961
204.75,17.072
194.27,5.9493
209.8,2.9013
204.65,6.6859
222.91,20.132
215.22,7.2745
215.68,-18.783
233.44,4.2522
225.65,7.9226
240.29,1.9381
240.42,-4.3387
230.27,-18.281
249.44,18.898
236.25,8.4833
241.04,-14.872
235.21,-1.0824
259.71,27.216
254.69,9.3021
243.64,-20.348
269.59,19.569
270.25,27.912
265.66,9.8961
231.34,38.045
278.33,20.376
288.26,21.127
287.82,29.074
278.08,5.8846
285.32,6.3018
281.75,6.0052
297.34,21.884
276.15,25.495
278.97,29.023
297.84,30.089
292.72,28.576
269.89,-7.9909
306.55,22.464
295.99,11.615
295.76,-2.8386
268.95,-5.0151
315.91,12.707
276.38,3.2608
306.74,12.331
295.84,-6.5046
305.92,30.427
320.26,35.903
296.64,29.631
265.52,9.3635
269.69,28.183
320.82,8.4764
314.74,12.307
284.51,6.1153
281,6.3061
277.08,5.2031
277.57,27.825
336.53,12.696
336.52,25.199
