rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
2007910000000,,0,,2007,910000000,"""imu_link""",,-0.00594525894097,0.0465418161574,0.060762178277,0.997048880916,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.0582431816153,-0.0442484228064,-0.0487998962475,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,4.82277245441,-5.99489155405,15.5438064158,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2008015000000,,1,,2008,14000000,"""imu_link""",,-0.00405947757863,0.0475353383662,0.0528523840622,0.997462048274,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.16985006067,-0.0147292501437,-0.1794903753,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.544741217774,-2.92648993111,6.58036346883,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2008118000000,,2,,2008,118000000,"""imu_link""",,-0.00137456374867,0.0494947614925,0.0362221755572,0.99811639259,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.0215921552267,-0.0362878995078,-0.566854235294,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,8.91785109825,0.269987129844,6.04422985072,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2008222000000,,3,,2008,222000000,"""imu_link""",,-0.00328661218734,0.0482683256247,0.00704412381736,0.998804158602,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.0163520461936,-0.018278757983,-0.658279375778,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,9.59469466145,-5.00584286129,12.4631866709,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2008327000000,,4,,2008,326000000,"""imu_link""",,-0.00283074143122,0.0485574496514,-0.0314367523773,0.998321537174,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.0340912859331,-0.0575003450521,-0.73606814611,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.18758002521,-3.78575914699,13.6832457554,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2008431000000,,5,,2008,430000000,"""imu_link""",,-0.00116161339487,0.0483235332876,-0.074621569519,0.996039712134,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.10812463774,0.0627773437717,-0.777875539433,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.56706369439,-1.31649544533,17.6336536952,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2008536000000,,6,,2008,535000000,"""imu_link""",,0.000520164595984,0.0473464581459,-0.113760222569,0.992379289431,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.0563624726027,-0.032879747656,-0.799776511688,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,6.14258794726,-6.26821137568,6.69139237366,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2008639000000,,7,,2008,639000000,"""imu_link""",,0.00332104929219,0.0450232330261,-0.156249788978,0.986685300673,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.100467182501,-0.0434186905581,-0.762653697289,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-4.3457864114,0.885164860718,9.11366381489,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2008744000000,,8,,2008,743000000,"""imu_link""",,0.00434678479627,0.0417659656179,-0.193970632346,0.980108210028,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.0377870621567,-0.264966384851,-0.732548024661,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-4.74219764955,0.684408427284,-3.26679454623,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2008848000000,,9,,2008,847000000,"""imu_link""",,0.000906900426632,0.0249115007434,-0.232284347155,0.972328430485,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.0314277943417,-0.316064920993,-0.830645525237,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,22.665670693,-15.559196294,22.3896658287,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2008952000000,,10,,2008,952000000,"""imu_link""",,-0.00176720704743,0.0107396312217,-0.274173961113,0.961618519138,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.0222743516873,-0.106817512381,-0.784247490172,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,5.85946289242,0.285549208761,27.5196698359,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
