X	Y
0010.2241191712	-014.6779524867
0005.9894973153	-136.2787838095
0011.2919164121	-038.3607741645
0013.7654355877	-073.9322214962
0013.9574923521	-053.1875292344
0026.3774528982	-360.5872636784
0021.6493852939	-104.3502042068
0007.2667200961	-263.0493590128
0010.6076428937	-342.7219500091
0022.3706833627	-316.2814951406
0009.8996315751	-324.0181704223
0031.8128977662	-424.8303319513
0004.9807281542	-153.7478658983
0014.5245228769	-087.2050842457
0005.7127252416	-226.9824159868
0025.1303209260	-349.0692133993
0000.8144027845	-093.0050510702
0005.0539606680	-141.0222038184
0023.4564889239	-190.9654436005
0026.3442851780	-365.2884132119
0021.0449465453	-285.2905025341
0026.1191284035	-358.4245197942
0001.1429783944	-058.2170249506
0020.0994411951	-214.7661530600
0024.3335125136	-299.3256166717
0019.7940229045	-207.4725181756
0003.6652375937	-193.6699484918
0024.1692800508	-320.5141545900
0003.3247007948	-283.6855446105
0000.0545235529	-112.0499648607
0009.6758560837	-267.0542187601
0024.7237482665	-308.2803021730
0023.6750800051	-181.1674790342
0026.2710244682	-360.6305663968
0020.0036829337	-254.3420845501
0010.2033387942	-319.0896617833
0023.5778736935	-191.4324569810
0010.6870815592	-334.0844471658
0003.2758684206	-283.7233881818
0002.6972772202	-121.9693574434
0007.9970835383	-333.5958008656
0015.4272822954	-098.1253070066
0008.6017807562	-277.3569704129
0020.2494616463	-263.3021124573
-001.7110205158	-158.6063564398
0016.9770817873	-418.9378540723
0024.7842879612	-277.2351284246
0025.2069892728	-369.0626807850
0007.6775668665	-179.8370855025
0006.4831796370	-205.0255191608
0020.0546696654	-254.2795991237
-000.3898559768	-029.6169054117
0015.1366405808	-409.3944840475
0020.3089731015	-226.7959831173
0024.1627766547	-320.6645337837
0013.7556378314	-073.9660818451
0003.0209530936	-098.3741986478
0008.4373336299	-292.7735967319
0023.3519460976	-338.5127071442
0011.3867162727	-349.7852615793
0007.9599242742	-231.3536857401
0013.9749222869	-053.1509573750
0023.3981337571	-338.5638632936
0018.5378557757	-173.0397152124
0002.7001172666	-122.0513493269
0003.0512411027	-099.2911961973
0006.4485256120	-204.9932853685
0023.3231801162	-269.1171213416
0022.1409051300	-289.3061180340
0024.7995304575	-277.2789639112
0024.5833349033	-344.2440233973
0004.4935708922	-339.1212030580
0019.1254501301	-084.9763663282
0014.3534561162	-389.2877509518
0006.8616879461	-187.6271468107
0006.9723164723	-210.2192293701
0007.8619642703	-166.7324457833
0012.0816030292	-068.9041505173
0020.6126406291	-238.4457950249
0018.0867949301	-177.6568638131
0027.4703703069	-412.0743975088
0025.1634633629	-369.0681940861
0007.7882319651	-190.9232181382
0010.2680888874	-272.9534785802
0026.3329181269	-262.2148291363
0014.0246268432	-053.1151386044
0004.1493186589	-104.3095379488
0022.3560711048	-316.1519726427
0007.7659087953	-167.4541035113
-003.8730870101	-048.0631335239
0014.9763224219	-394.1193529312
0012.2530781839	-362.3637490754
0020.1758044670	-226.9296690333
0011.3536355352	-349.8144699410
0002.5404260737	-121.7759759580
0026.2816792164	-360.6550042880
0027.4462558267	-412.0970529533
0007.6383145841	-179.8423429484
0020.8470589178	-247.0297120214
0012.4201348547	-384.6761806781
0004.5344191184	-338.9100394743
0003.3218124872	-283.7056837437
0004.6522536829	-134.4732359163
0004.5983532559	-112.1288650676
0014.0421537708	-053.1650863543
0014.2601104097	-389.4403492672
0024.1388142005	-320.5391137132
0005.8999012513	-172.8889521206
0010.4847099762	-010.4438929135
0013.4004853452	-058.2375246107
0017.5956919325	-206.0098286072
0017.2313489917	-430.2099190417
0004.4741381343	-339.2752722601
0024.3988656499	-299.2444032321
0019.4255033113	-233.0044502650
0003.1161153611	-099.1527073940
-003.5019509024	-050.9958745086
0002.6598038274	-122.1230647561
0011.0511565486	-026.1129964443
0019.1062641994	-184.9252301310
0019.0864114948	-084.8783491568
0019.8650303314	-214.7287472295
0007.9598505770	-167.3558962785
0022.3600231150	-316.1715141771
0024.7350584221	-308.2461910256
0016.0118031808	-121.3439268769
0002.9248254121	-098.3682325270
0005.6473592703	-227.0640254066
0026.3835508555	-365.2666793923
0011.6392552495	-041.6443785307
0025.0870246091	-369.0981269787
0016.0960820986	-120.9915610386
0025.0739461275	-369.0732240205
0023.6703535965	-180.7571929839
0023.1449903253	-268.9119275609
0017.4250244271	-140.8110435631
0001.2138936554	-058.2531295739
0004.5579208736	-112.5443789896
0019.4103749927	-232.9036059917
0022.3898393872	-316.2111807415
0009.8349513803	-324.0129239915
0005.0064632225	-153.6502196153
0023.1936506680	-291.4836719590
0019.9246548414	-254.2533789132
0008.8767836616	-248.5619159764
0017.3048202341	-159.0846357498
0007.9717261313	-190.2778981513
0026.4957837679	-403.9742983456
-003.5647063494	-053.4213972334
0009.7149666766	-313.4462544828
0014.0036577116	-053.1506431682
0008.4407237636	-258.4728408965
0004.4355709321	-343.2206964523
0022.6686288086	-165.8707481970
0017.3782769623	-140.8179373934
0008.6189221529	-258.3572683706
0011.3868929064	-349.7674076509
0009.3154711888	-306.2890589854
0001.4386493809	-055.2781581458
0017.4717209643	-159.1891556455
0007.8111429290	-231.2734194644
-003.9864665796	-047.9511383739
0004.4654045048	-134.3074621231
0019.3714628988	-232.9426126161
0015.0148799698	-394.3270585148
0024.7726168250	-335.9889634602
0024.9332721696	-307.8545013720
0002.5725435632	-122.1872554766
0007.2169184462	-263.0645346752
0020.4359210925	-263.1641097310
0017.4461568619	-140.8100035467
0020.7972046162	-426.1241813780
0007.7511330560	-190.9296235359
-002.1926292311	-016.5412566641
0017.3169792981	-140.7069038711
0015.5192934545	-132.3592046740
0007.7782099855	-179.3582804191
0006.7907169006	-158.1702662955
0001.4933941760	-055.1779978677
0026.1502036777	-358.5046294543
0012.6129063987	-045.0189660134
0018.5963532119	-172.9199428057
0017.9479966588	-177.7588539319
0000.8605848049	-092.7938009167
0019.5618027472	-243.7977704641
0024.8094918645	-277.3061270204
0007.7888788225	-179.8247126626
0004.5055302410	-129.8041472863
0013.4702860403	-058.2585841030
0007.7967576488	-190.1952416156
0004.5965222981	-129.6733185275
0024.8923784471	-277.4060382965
0026.0665327935	-356.0710041994
0012.2923769445	-362.3242818336
0009.9019326654	-323.9986788660
0013.5007673161	-355.2697389525
0010.7336888368	-334.1632248905
0008.2572835149	-236.0556065596
0012.7222845104	-063.2400091345
0011.7768244290	-041.5861749005
0011.8055991395	-041.5124165790
-003.5157614991	-050.9754304144
0007.5955259717	-179.8916005034
0014.0344542578	-404.8552097400
0013.4984443389	-355.2229826446
0000.8352530430	-092.5601526417
-003.9546201381	-047.9997808652
0014.0220445513	-053.1299625209
0006.0085566126	-173.5260623962
0027.4096803768	-412.1642345715
0005.6719864916	-227.0250213872
0011.2684776492	-349.8215218304
0003.8953100979	-332.9051710903
0023.1836245210	-286.9727310766
0014.8704145279	-395.0291090871
-000.5431401963	-029.4227430477
0023.0398813836	-286.6980551107
0004.8620334842	-140.9711550937
0025.8798833827	-403.3211598276
-004.9582373314	-089.8509665149
0015.3667347091	-399.9170841549
0017.7306206604	-148.4361260722
-005.9289916840	-079.1910602148
0019.2185516229	-184.5986646317
0016.6984590410	-116.4240042648
0025.2506632972	-348.9844188469
0015.3878168826	-098.1206386325
0017.7377341348	-148.5445737707
0015.3379316735	-098.1702767484
0024.7908821942	-277.2607833468
0010.4980658141	-342.5944281704
0022.3434857160	-289.7858678435
0008.0054311299	-231.2004288506
0025.1915287557	-349.0672698533
0011.3788602620	-349.8208830328
0025.2081183444	-368.9682626254
0012.3271766877	-384.5899446950
0015.4120825697	-127.6607813166
0005.8862323141	-136.1663408482
0023.2084477824	-268.9761539407
0023.4455030108	-191.0131649973
0020.2537365431	-263.3569327768
-002.8078519604	-046.3966433868
0012.1933752734	-362.4542313510
0019.3772504874	-188.8316002965
0010.6863786481	-342.7645299126
0019.3272249769	-188.2429111930
0000.8688157182	-092.6961130546
0010.5050973809	-342.8158713282
0005.7357475409	-227.0019264443
0019.2007426725	-233.0195795637
0024.1399654391	-320.5764965817
-004.9737937545	-089.8846730742
0024.1918265908	-320.4898920555
-000.1293969077	-035.2667314453
0005.0105359437	-153.6928223389
0020.2999416507	-226.8443835446
0023.2369429179	-291.4377429004
0014.8776192395	-103.0990261743
0015.3065484174	-132.4066482959
0001.6598283324	-055.2677878868
0009.8402106557	-323.9176250985
0004.4607280359	-129.6829080611
0024.8667010653	-307.9075448726
0018.5617122846	-173.2239320564
0016.7222636743	-116.4608487123
0012.5804137582	-044.9127328567
0000.0777230176	-112.1550709505
0019.4949670288	-208.0283528133
0024.3646551161	-299.2759782135
0005.2874466985	-218.8077139215
0007.0951973960	-210.2717511812
0010.5440021169	-342.6721701022
0025.2424313435	-369.0999543722
0013.5145146195	-058.1551753283
0011.6506060519	-041.6430855525
0017.9405484555	-164.0510124233
0004.8842790823	-153.9495663322
0026.6684462143	-388.9407644678
-003.7665328278	-048.4042353046
0013.4442876213	-058.1957491029
0025.2911886374	-369.2385799788
0024.8422428956	-277.3538016405
0004.4565855150	-343.1952658488
0009.7340770593	-313.0642679887
0019.5378439173	-207.9832165770
0009.0993562059	-371.6942506570
-000.0880663358	-035.6072851201
0023.1327017560	-286.8988048156
0016.1701340905	-120.9311018782
0020.8479666564	-246.9851777779
0017.4692959409	-206.0721337503
0006.4200384480	-205.3961691935
0005.3326671942	-218.8496078724
-000.0901101475	-035.5631779569
0004.9921107287	-140.9101142525
0005.7963406662	-227.1076498785
0017.2317916383	-158.5739160473
0023.2513534789	-268.7426733680
-003.5758397760	-051.0152299135
0015.2196786796	-409.5186367874
0026.2528833422	-358.5531726952
0010.1610513231	-319.0642628560
0009.1976182750	-371.8528703792
0016.0277307898	-078.2617763708
0004.6118582060	-129.9866127505
0015.3343998844	-127.3229665393
0007.1250674315	-210.3409727268
0022.7892483429	-315.9924561521
0020.0737694856	-254.3300021085
-001.3961708910	-124.7589492947
0007.7370798701	-179.8579111326
0010.8153802922	-021.3476613847
0026.9917943572	-265.6394259147
0008.8789452650	-248.6223759726
0000.1293945849	-112.6734202322
0015.5034636999	-127.4147093210
0010.5201501836	-010.4084682305
0017.6225796041	-205.4599480859
0010.8468652035	-021.3333967954
-005.8651169227	-078.8961506437
-001.1476001345	-125.0337370363
0024.7002845940	-328.4475474897
0020.0017835133	-221.2806761591
0021.0067957613	-247.0114743243
0011.6983357252	-033.0561682263
0002.6531032511	-121.8326915719
0020.2472025394	-226.9175258399
0027.5503187835	-390.3459400843
-002.2886180664	-016.4292322247
0007.8305448962	-166.7100076408
0001.4106663488	-066.4388646812
0004.5329948707	-338.9827984446
0009.7695296720	-313.3167202475
0017.2972197797	-158.5437887712
-002.7887920287	-046.3547806299
0010.8610990403	-334.2105687501
0026.5661132094	-389.0207705812
0011.1698193088	-025.9895559624
0007.2386838943	-263.0564040572
0008.4698668499	-258.3518736882
0017.4083912321	-159.1365603251
0013.3514902682	-355.2040569806
0019.0135689464	-084.8304642858
0017.9536173968	-164.0955727901
0008.5106040137	-243.7584105803
0022.1420813756	-289.3547871980
0019.2561693757	-188.6260575807
0007.8571786249	-179.4732056387
-003.5725562767	-053.4457813536
0011.8396060275	-068.7705351866
0017.9975451698	-164.0862833374
-001.1662242116	-125.1726847923
0024.7267482308	-308.3283978308
-001.7629847262	-021.3523180956
0026.3003537679	-360.6689867000
0005.8614985987	-136.1649860813
0004.3375262256	-112.6123074105
0019.1327395688	-185.0099093590
-003.5239931569	-051.0047305876
0021.2155380019	-285.3536348804
0008.2306649491	-236.0998684679
0025.3048293237	-348.8615197177
0025.2518161876	-369.1457035536
0011.0225792220	-300.1337149910
0025.1473339443	-369.0036091150
0011.1977369461	-349.9505666277
0011.2877964755	-038.3896314874
0007.9444315520	-333.6497720659
-001.7844056159	-021.0706780936
0009.6345605734	-313.4260697957
0013.3752628807	-058.2082505654
0015.7557697400	-137.2671270612
0008.5801618005	-406.0119157245
0022.7075163857	-166.0454355724
0012.5311655776	-384.5857301439
0008.4076755682	-292.8001946184
0002.5946009526	-122.1875671282
0006.5227026515	-205.4141436653
0009.7722082288	-323.9065598046
0007.8630933134	-190.8866583219
0007.1364187813	-263.1219199489
0010.4598225835	-272.7992111839
0001.4240517135	-055.1825852435
0023.4075095596	-291.9973337275
0013.8557376847	-370.1811240082
0019.5573934480	-243.8514533045
0023.4636260068	-191.1369424358
0009.2800327545	-306.3169433933
0006.1508823661	-327.2609353695
0024.6016343779	-344.2083167709
0010.6451357229	-334.0220559322
0019.5590474205	-207.9634326562
0001.3458462408	-058.1141826862
-000.8051346954	-023.6529204525
0006.1444711047	-327.2353788147
0026.3123586343	-262.2342992376
0007.8513195698	-231.2874522441
-000.0264923144	-035.4000777969
0013.5524978177	-058.0028754261
0009.2917556075	-306.1362408134
0008.2387808942	-284.5823177041
0026.6560560611	-367.6177596337
0005.4815854404	-218.7714847433
0016.0916481000	-078.3423224051
0026.2372624570	-206.9341164054
0015.3920096199	-399.9109615972
0002.9664298016	-098.3336608473
-004.9824145228	-089.8558642458
0024.7243321373	-308.3912945543
0020.0316334048	-221.2260938383
-000.8239784748	-023.8265703448
0009.1878045770	-306.0583084000
0003.0985842760	-098.4200726115
0006.1891918228	-327.1785588000
0021.7183609639	-104.6974588291
0002.5284000807	-122.1297445952
-001.0133836975	-023.5409042446
0005.4653249168	-218.7432126237
0019.6241119404	-067.7450380674
0004.9697643162	-140.9251603487
0007.0326146615	-158.3414892490
0023.2639530513	-291.8822244643
0016.2488456515	-120.8415535912
-005.9003834523	-079.0381355754
0004.4448885597	-343.2908541405
0007.9869270621	-333.5705692281
0012.3576023738	-362.3694369247
0010.0580419190	-318.8275421528
0015.3322987977	-399.9859217372
0020.5418180777	-238.3417121121
0013.6768606566	-073.9314173700
0011.7229707661	-041.6656507822
0004.7745733455	-346.1487714818
-000.9293436177	-023.8122194991
0006.9457785918	-210.1974607838
0003.7346816531	-193.1448414571
0007.0782840576	-210.5448886718
0013.2894875295	-355.1800718098
0026.0312576590	-356.0403229627
0001.6821957844	-066.6556426128
0026.4590215291	-365.4134774940
0009.1482107092	-306.0234021221
0009.7255627395	-323.8942172122
0010.3346741380	-319.1943167327
0009.6105411077	-313.4010330646
0011.0870469561	-300.6521829589
-003.5669413209	-053.3791251596
0014.8811988394	-103.0621852597
0004.1591786061	-104.2729533034
0005.4345340893	-218.7194895659
0006.1128736573	-136.2229432372
0008.0468025211	-284.7712674703
0008.0052473847	-190.3467930320
0015.3391397998	-098.9782286088
0026.9490469395	-265.6843630117
0019.3904607340	-243.8948252626
0000.7553592417	-092.5051069752
0008.4898344324	-277.2765371216
0017.9019197415	-164.0766467195
0012.3893363964	-384.6057531799
0004.4262484607	-129.6416549582
