X	Y
0010.6081674299	-342.7228213611
0022.3705422533	-316.2836898541
0009.8986475923	-324.0101394478
0031.8111379153	-424.8300328588
0004.9824325263	-153.7489763943
0014.5239876865	-087.2041685338
0005.7082155028	-226.9867699113
0025.1313369993	-349.0740782673
0000.8152798811	-093.0082539791
0005.0541252727	-141.0253998542
0023.4568790484	-190.9664005216
0026.3442640297	-365.2900904029
0021.0451892846	-285.2915921298
0026.1230377656	-358.4267365919
0001.1466948109	-058.2158791793
0020.0784510403	-214.7603530519
0024.3407729401	-299.3265704326
0019.7913366710	-207.4625379091
0003.6641184484	-193.6656666356
0024.1692634902	-320.5125803252
0003.3263811986	-283.6869340216
0000.0559030378	-112.0470846363
0009.6785257920	-267.0553743211
0024.7211350378	-308.2835584725
0023.6686264367	-181.1674396427
0026.2710012940	-360.6302167817
0020.0005462815	-254.3411600193
0010.2049810286	-319.0910403624
0023.5773115890	-191.4302827384
0010.6927137785	-334.0842464002
0003.2749663741	-283.7218225138
0002.6979740256	-121.9670715304
0007.9970784611	-333.5951255034
0015.4258294825	-098.1246465231
0008.5967813739	-277.3559539103
0020.2483393232	-263.3037459221
-001.7112902003	-158.6038153132
0016.9717182689	-418.9243172861
0024.7840857886	-277.2363545628
0025.2051715968	-369.0623982184
0007.6795427560	-179.8342404042
0006.4869285836	-205.0235705382
0020.0546879504	-254.2764971555
-000.3946539753	-029.6163610502
0015.1397193381	-409.3946089457
0020.3105322754	-226.7998014862
0024.1654976446	-320.6705118560
0013.7516317112	-073.9640398177
0003.0204465105	-098.3730543215
0008.4407174451	-292.7727281311
0023.3477906665	-338.5129720990
0011.3881687068	-349.7856953998
0007.9565115397	-231.3540050127
0013.9750333716	-053.1508899728
0023.3984818876	-338.5669377621
0018.5331096412	-173.0346797692
0002.7011686450	-122.0507664276
0003.0545458831	-099.2879129253
0006.4507895472	-204.9905077173
0023.2930226299	-269.1381834417
0022.1398445045	-289.3073209866
0024.7986650578	-277.2755490599
0024.5848788015	-344.2442939156
0004.4962697933	-339.1221124083
0019.1253742481	-084.9724598018
0014.3560490206	-389.2857490591
0006.8627198756	-187.6301890750
0006.9701315410	-210.2189996105
0007.8639660401	-166.7352217960
0012.0834425242	-068.9072425139
0020.6137411234	-238.4488590330
0018.0882125148	-177.6566416750
0027.4636433103	-412.0762048251
0025.1680981484	-369.0624109285
0007.7876913595	-190.9254943941
0010.2686255162	-272.9508201443
0026.3278921691	-262.2138268340
0014.0256041079	-053.1179468888
0004.1482186342	-104.3103453567
0022.3554702779	-316.1570886182
0007.7689578373	-167.4550121794
-003.8737935346	-048.0613355689
0014.9746951041	-394.1158139947
0012.2526118680	-362.3626255570
0020.1758079645	-226.9341135223
0011.3520335777	-349.8165857938
0002.5414159685	-121.7713320815
0026.2811121380	-360.6543503524
0027.4464794556	-412.0986774383
0007.6360798579	-179.8376699961
0020.8469271936	-247.0307811868
0012.4226044743	-384.6729100990
0004.5352177150	-338.9088717259
0003.3203430039	-283.7035037063
0004.6518977276	-134.4758818957
0004.6036834724	-112.1289808097
