-147.3,5.368
-143.3,2.473
-139.6,5.588
-135.6,2.766
-131.8,5.782

-147.1,-10.9
-143.1,-13.75
-139.3,-10.63
-135.3,-13.54
-131.5,-10.49

-111.5,3.427
-107.4,6.504
-103.2,3.663
-99.51,6.729
-95.59,3.952
-91.62,6.901
-87.74,4.235
-83.52,7.16
-79.79,4.473
-75.67,7.357
-71.81,4.617
-67.79,7.586
-63.95,4.993
-59.82,7.82
-56.03,5.116
-52.02,8.046
-48.18,5.362
-44,8.281
-40.22,5.561
-36.23,8.497


-111.1,-12.88
-107.2,-9.771
-103.1,-12.59
-99.33,-9.67
-95.12,-12.35
-91.32,-9.38
-87.22,-12.13
-83.34,-9.167
-79.23,-11.89
-75.52,-8.953
-71.37,-11.68
-67.61,-8.758
-63.44,-11.45
-59.66,-8.442
-55.59,-11.23
-51.74,-8.169
-47.67,-10.99
-43.82,-8.004
-39.77,-10.76
-35.94,-7.761

-15.58,6.167
-11.77,9.207
-7.714,6.388
-3.774,9.44
0.07089,6.729

-15.33,-10.144
-11.3,-7.03
-7.22,-9.833
-3.432,-6.878
0.7108,-9.691
