rosbagTimestamp,data,\,0.15,0,0,6,5,0,0,0,6,0,03*27b281e9\r\n,,,,,,,,,,,,,,,
1.56701501383672E+018,#BESTXYZA,COM1,0,63,FINESTEERING,2068,323832,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.57,-4755075.745,4232285.3832,1.5509,3.58,4.1545,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0046,-0.0411,0.0391,0.1854,0.4279,0.4966,\,\
1.5670150148264E+018,#BESTXYZA,COM1,0,65,FINESTEERING,2068,323833,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.5798,-4755075.7384,4232285.3827,1.5509,3.5806,4.1535,SOL_COMPUTED,DOPPLER_VELOCITY,0.0328,-0.0048,0.0289,0.1854,0.428,0.4964,\,\
1.56701501582325E+018,#BESTXYZA,COM1,0,65,FINESTEERING,2068,323834,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.588,-4755075.7132,4232285.3773,1.5509,3.5811,4.1523,SOL_COMPUTED,DOPPLER_VELOCITY,0.0069,-0.0109,-0.0141,0.1854,0.428,0.4963,\,\
1.56701501682468E+018,#BESTXYZA,COM1,0,69.5,FINESTEERING,2068,323835,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.6114,-4755075.6948,4232285.3191,1.5508,3.5816,4.151,SOL_COMPUTED,DOPPLER_VELOCITY,0.0161,-0.0667,-0.0398,0.1854,0.4281,0.4961,\,\
1.56701501783085E+018,#BESTXYZA,COM1,0,67,FINESTEERING,2068,323836,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.6224,-4755075.6182,4232285.3235,1.5506,3.5763,4.15,SOL_COMPUTED,DOPPLER_VELOCITY,0.0247,-0.0175,0.0185,0.1853,0.4275,0.496,\,\
1.56701501882738E+018,#BESTXYZA,COM1,0,67,FINESTEERING,2068,323837,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.6374,-4755075.6131,4232285.3011,1.5506,3.577,4.149,SOL_COMPUTED,DOPPLER_VELOCITY,0.0166,-0.0072,0.0309,0.1853,0.4275,0.4959,\,\
1.56701501982206E+018,#BESTXYZA,COM1,0,67.5,FINESTEERING,2068,323838,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.6048,-4755075.514,4232285.3865,1.5494,3.5742,4.1451,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0019,-0.0518,-0.0128,0.1852,0.4272,0.4954,\,\
1.56701502082373E+018,#BESTXYZA,COM1,0,67,FINESTEERING,2068,323839,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.6333,-4755075.4923,4232285.3661,1.5497,3.5754,4.1449,SOL_COMPUTED,DOPPLER_VELOCITY,0.0414,0.1016,-0.0578,0.1852,0.4273,0.4954,\,\
1.56701502182305E+018,#BESTXYZA,COM1,0,67,FINESTEERING,2068,323840,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.6415,-4755075.4841,4232285.3524,1.5497,3.576,4.1439,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0341,-0.0094,-0.0409,0.1852,0.4274,0.4953,\,\
1.56701502282795E+018,#BESTXYZA,COM1,0,64.5,FINESTEERING,2068,323841,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.6674,-4755075.4892,4232285.3452,1.5494,3.5761,4.1422,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0282,-0.15,0.0178,0.1852,0.4274,0.4951,\,\
1.56701502382628E+018,#BESTXYZA,COM1,0,64.5,FINESTEERING,2068,323842,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.6828,-4755075.4552,4232285.3442,1.5496,3.5769,4.1415,SOL_COMPUTED,DOPPLER_VELOCITY,0.0098,0.0189,-0.0624,0.1852,0.4275,0.495,\,\
1.56701502482419E+018,#BESTXYZA,COM1,0,66,FINESTEERING,2068,323843,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.7103,-4755075.4555,4232285.3248,1.5496,3.5776,4.1403,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0101,-0.0354,0.0091,0.1852,0.4276,0.4949,\,\
1.56701502583799E+018,#BESTXYZA,COM1,0,67.5,FINESTEERING,2068,323844,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.7376,-4755075.4437,4232285.2863,1.5494,3.5778,4.1389,SOL_COMPUTED,DOPPLER_VELOCITY,0.0261,-0.0261,0.0374,0.1852,0.4276,0.4947,\,\
1.56701502682842E+018,#BESTXYZA,COM1,0,66.5,FINESTEERING,2068,323845,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.7576,-4755075.4569,4232285.3016,1.5495,3.5787,4.1381,SOL_COMPUTED,DOPPLER_VELOCITY,0.0378,0.0306,-0.0518,0.1852,0.4277,0.4946,\,\
1.56701502782588E+018,#BESTXYZA,COM1,0,66.5,FINESTEERING,2068,323846,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.771,-4755075.4622,4232285.3254,1.5494,3.579,4.1368,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0541,-0.0027,-0.075,0.1852,0.4278,0.4944,\,\
1.56701502882441E+018,#BESTXYZA,COM1,0,66,FINESTEERING,2068,323847,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.7765,-4755075.4767,4232285.3447,1.5496,3.58,4.1361,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0224,-0.0067,-0.048,0.1852,0.4279,0.4944,\,\
1.56701502982587E+018,#BESTXYZA,COM1,0,66,FINESTEERING,2068,323848,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.7894,-4755075.4897,4232285.3612,1.5495,3.5803,4.1349,SOL_COMPUTED,DOPPLER_VELOCITY,0.0058,0.0163,-0.0049,0.1852,0.4279,0.4942,\,\
1.56701503083722E+018,#BESTXYZA,COM1,0,66,FINESTEERING,2068,323849,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.7958,-4755075.4971,4232285.3481,1.5495,3.5808,4.1339,SOL_COMPUTED,DOPPLER_VELOCITY,0.0071,-0.0646,0.008,0.1852,0.428,0.4941,\,\
1.56701503183145E+018,#BESTXYZA,COM1,0,66,FINESTEERING,2068,323850,10000,d821,30031,SOL_COMPUTED,SINGLE,197042.7421,-4755073.1714,4232287.9284,1.739,3.719,3.0382,SOL_COMPUTED,DOPPLER_VELOCITY,0.013,-0.0992,-0.0493,0.2079,0.4445,0.3631,\,\
1.56701503282895E+018,#BESTXYZA,COM1,0,65,FINESTEERING,2068,323851,10000,d821,30031,SOL_COMPUTED,SINGLE,197042.7898,-4755072.3923,4232287.7541,1.7396,3.8149,3.0699,SOL_COMPUTED,DOPPLER_VELOCITY,0.0199,0.0653,-0.0355,0.2079,0.456,0.3669,\,\
1.56701503382534E+018,#BESTXYZA,COM1,0,65,FINESTEERING,2068,323852,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8138,-4755075.5619,4232285.3923,1.5497,3.5828,4.1312,SOL_COMPUTED,DOPPLER_VELOCITY,0.0016,-0.0352,-0.0787,0.1852,0.4282,0.4938,\,\
1.56701503482337E+018,#BESTXYZA,COM1,0,67.5,FINESTEERING,2068,323853,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.814,-4755075.5792,4232285.415,1.5498,3.5836,4.1304,SOL_COMPUTED,DOPPLER_VELOCITY,0.0036,-0.009,-0.0206,0.1852,0.4283,0.4937,\,\
1.5670150358291E+018,#BESTXYZA,COM1,0,67.5,FINESTEERING,2068,323854,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8189,-4755075.5875,4232285.4005,1.5497,3.5842,4.1291,SOL_COMPUTED,DOPPLER_VELOCITY,0.0008,-0.013,0.0282,0.1852,0.4284,0.4935,\,\
1.56701503681813E+018,#BESTXYZA,COM1,0,65,FINESTEERING,2068,323855,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8189,-4755075.5926,4232285.4074,1.5497,3.5849,4.1281,SOL_COMPUTED,DOPPLER_VELOCITY,0.0127,0.0073,-0.017,0.1852,0.4285,0.4934,\,\
1.5670150378198E+018,#BESTXYZA,COM1,0,65,FINESTEERING,2068,323856,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8227,-4755075.6305,4232285.422,1.5498,3.5855,4.1272,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0293,-0.0439,-0.0191,0.1852,0.4285,0.4933,\,\
1.56701503881914E+018,#BESTXYZA,COM1,0,63,FINESTEERING,2068,323857,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8442,-4755075.6247,4232285.4196,1.5498,3.5862,4.1263,SOL_COMPUTED,DOPPLER_VELOCITY,0.0413,0.0423,-0.0542,0.1852,0.4286,0.4932,\,\
1.56701503982002E+018,#BESTXYZA,COM1,0,63,FINESTEERING,2068,323858,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.86,-4755075.6373,4232285.4451,1.55,3.5871,4.1257,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0189,0.0036,0.0072,0.1853,0.4287,0.4931,\,\
1.5670150408201E+018,#BESTXYZA,COM1,0,64,FINESTEERING,2068,323859,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.87,-4755075.6738,4232285.4669,1.5498,3.5873,4.1241,SOL_COMPUTED,DOPPLER_VELOCITY,0.0058,-0.0657,0.0491,0.1852,0.4288,0.4929,\,\
1.56701504182218E+018,#BESTXYZA,COM1,0,64,FINESTEERING,2068,323860,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8766,-4755075.7079,4232285.4589,1.5498,3.5878,4.1231,SOL_COMPUTED,DOPPLER_VELOCITY,0.0177,-0.0385,-0.0082,0.1852,0.4288,0.4928,\,\
1.56701504282045E+018,#BESTXYZA,COM1,0,60,FINESTEERING,2068,323861,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8907,-4755075.7215,4232285.4665,1.5501,3.589,4.1227,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0181,0.0026,-0.0033,0.1853,0.429,0.4928,\,\
1.5670150438197E+018,#BESTXYZA,COM1,0,60,FINESTEERING,2068,323862,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8979,-4755075.7213,4232285.4285,1.5499,3.5892,4.1213,SOL_COMPUTED,DOPPLER_VELOCITY,0.018,0.0579,-0.0094,0.1853,0.429,0.4926,\,\
1.56701504482092E+018,#BESTXYZA,COM1,0,65,FINESTEERING,2068,323863,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8908,-4755075.7446,4232285.4324,1.5499,3.5898,4.1201,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0095,-0.0813,0.0596,0.1852,0.4291,0.4924,\,\
1.56701504582018E+018,#BESTXYZA,COM1,0,67,FINESTEERING,2068,323864,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8835,-4755075.7847,4232285.4575,1.5499,3.5903,4.1191,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0065,-0.0441,0.0515,0.1852,0.4291,0.4923,\,\
1.56701504682084E+018,#BESTXYZA,COM1,0,67.5,FINESTEERING,2068,323865,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8967,-4755075.7591,4232285.4288,1.55,3.5911,4.1182,SOL_COMPUTED,DOPPLER_VELOCITY,0.0263,-0.0133,-0.0068,0.1853,0.4292,0.4922,\,\
1.56701504782633E+018,#BESTXYZA,COM1,0,67,FINESTEERING,2068,323866,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8964,-4755075.7645,4232285.418,1.5498,3.5915,4.1169,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0053,-0.0793,0.0204,0.1852,0.4293,0.4921,\,\
1.56701504882164E+018,#BESTXYZA,COM1,0,66,FINESTEERING,2068,323867,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8897,-4755075.795,4232285.4222,1.5497,3.592,4.1156,SOL_COMPUTED,DOPPLER_VELOCITY,0.0237,0.0231,-0.0009,0.1852,0.4293,0.4919,\,\
