frame number,timestamp
8,1568662900.9066405
9,1568662901.0126486
10,1568662901.1070101
11,1568662901.2060404
12,1568662901.3052764
13,1568662901.4019947
14,1568662901.5130181
15,1568662901.6038244
16,1568662901.7043428
17,1568662901.8036003
18,1568662901.9036071
19,1568662902.00201
20,1568662902.1020072
21,1568662902.202795
22,1568662902.3067555
23,1568662902.4010549
24,1568662902.5024936
25,1568662902.6021404
26,1568662902.7029934
27,1568662902.8038726
28,1568662902.9047675
29,1568662903.0038555
30,1568662903.1103706
31,1568662903.2039986
32,1568662903.304319
33,1568662903.4051957
34,1568662903.504251
35,1568662903.603067
36,1568662903.7050986
37,1568662903.8032968
38,1568662903.9039862
39,1568662904.0028782
40,1568662904.1052606
41,1568662904.2059367
42,1568662904.3070986
43,1568662904.4040675
44,1568662904.503453
45,1568662904.6047006
46,1568662904.7072043
47,1568662904.8092341
48,1568662904.904144
49,1568662905.002522
50,1568662905.1032393
51,1568662905.2056084
52,1568662905.3053553
53,1568662905.4049404
54,1568662905.5042853
55,1568662905.6024036
56,1568662905.7032712
57,1568662905.8081074
58,1568662905.903378
59,1568662906.0033667
60,1568662906.1036992
61,1568662906.2046986
62,1568662906.3030806
63,1568662906.4042597
64,1568662906.5043664
65,1568662906.6073532
66,1568662906.7027922
67,1568662906.794218
68,1568662906.8936248
69,1568662906.9936666
70,1568662907.0941541
71,1568662907.194711
72,1568662907.2938313
73,1568662907.3962772
74,1568662907.4934804
75,1568662907.5938344
76,1568662907.6938863
77,1568662907.7929556
78,1568662907.8974326
79,1568662907.993769
80,1568662908.0937374
81,1568662908.1937885
82,1568662908.2966235
83,1568662908.3943954
84,1568662908.494005
85,1568662908.5935934
86,1568662908.693501
87,1568662908.7942379
88,1568662908.8940287
89,1568662908.9938414
90,1568662909.093162
91,1568662909.1937275
92,1568662909.2942839
93,1568662909.393456
94,1568662909.4936311
95,1568662909.5936847
96,1568662909.6939046
97,1568662909.7944548
98,1568662909.894704
99,1568662909.9936576
100,1568662910.0935712
101,1568662910.1938176
102,1568662910.293227
103,1568662910.3931968
104,1568662910.4932556
105,1568662910.5938733
106,1568662910.6934965
107,1568662910.79357
108,1568662910.8935812
109,1568662910.9939432
110,1568662911.0953503
111,1568662911.1952019
112,1568662911.2942398
113,1568662911.3937569
114,1568662911.4942272
115,1568662911.597566
116,1568662911.6947508
117,1568662911.7960858
118,1568662911.8966463
119,1568662911.9969263
120,1568662912.0972588
121,1568662912.1958592
122,1568662912.2981758
123,1568662912.3956268
124,1568662912.49833
125,1568662912.5965652
126,1568662912.695838
127,1568662912.7953203
128,1568662912.8966117
129,1568662912.9953496
130,1568662913.0953395
131,1568662913.1953685
132,1568662913.2958035
133,1568662913.3958933
134,1568662913.4958253
135,1568662913.5951822
136,1568662913.6949968
137,1568662913.7951088
138,1568662913.8966084
139,1568662913.9960725
140,1568662914.0959787
141,1568662914.1956835
142,1568662914.2963176
143,1568662914.3962848
144,1568662914.4951828
145,1568662914.5956097
146,1568662914.6958852
147,1568662914.7955983
148,1568662914.899948
149,1568662914.9955063
150,1568662915.0948849
151,1568662915.1948903
152,1568662915.2959964
153,1568662915.395742
154,1568662915.495425
155,1568662915.5956788
156,1568662915.69515
157,1568662915.795236
158,1568662915.8952842
159,1568662915.9954615
160,1568662916.096004
161,1568662916.1954532
162,1568662916.2952325
163,1568662916.3958344
164,1568662916.4951944
165,1568662916.595794
166,1568662916.6946642
167,1568662916.7953248
168,1568662916.8956008
169,1568662916.9956365
170,1568662917.0940485
171,1568662917.1962357
172,1568662917.296429
173,1568662917.394734
174,1568662917.4951982
175,1568662917.5951846
176,1568662917.6959493
177,1568662917.795941
178,1568662917.8962433
179,1568662917.998643
180,1568662918.096451
181,1568662918.1957877
182,1568662918.2959309
183,1568662918.394965
184,1568662918.4954665
185,1568662918.5956256
186,1568662918.695168
187,1568662918.7947862
188,1568662918.8961794
189,1568662918.9950294
190,1568662919.095132
191,1568662919.1949272
192,1568662919.2936373
193,1568662919.3936913
194,1568662919.496533
195,1568662919.5977397
196,1568662919.6950078
197,1568662919.7948146
198,1568662919.894806
199,1568662919.9931967
200,1568662920.093723
201,1568662920.1942883
202,1568662920.2939975
203,1568662920.3938267
204,1568662920.4941413
205,1568662920.593996
206,1568662920.6939728
207,1568662920.7938566
208,1568662920.8934286
209,1568662920.9976902
210,1568662921.0950792
211,1568662921.1965759
212,1568662921.2950883
213,1568662921.3951166
214,1568662921.4951088
215,1568662921.5951731
216,1568662921.6937995
217,1568662921.794683
218,1568662921.893848
219,1568662921.9933615
220,1568662922.0936291
221,1568662922.197921
222,1568662922.2953582
223,1568662922.3956401
224,1568662922.4936855
225,1568662922.5937052
226,1568662922.6936867
227,1568662922.798366
228,1568662922.895508
229,1568662922.9953377
230,1568662923.095124
231,1568662923.1951797
232,1568662923.2950275
