rosbagTimestamp,data
1543949996035818149,"""$GPRMC,185956.00,A,4150.1496603,N,08737.5064176,W,0.017,352.8,041218,0.0,E,A*26\r\"
1543949997033778236,"""$GPRMC,185957.00,A,4150.1496918,N,08737.5064510,W,0.072,157.6,041218,0.0,E,A*2C\r\"
1543949998034962617,"""$GPRMC,185958.00,A,4150.1497198,N,08737.5064823,W,0.044,321.7,041218,0.0,E,A*28\r\"
1543949999032463358,"""$GPRMC,185959.00,A,4150.1497520,N,08737.5065093,W,0.078,152.3,041218,0.0,E,A*21\r\"
1543950000030929455,"""$GPRMC,190000.00,A,4150.1497889,N,08737.5065451,W,0.045,194.2,041218,0.0,E,A*21\r\"
1543950001032153445,"""$GPRMC,190001.00,A,4150.1498086,N,08737.5065674,W,0.116,334.2,041218,0.0,E,A*22\r\"
1543950002030234674,"""$GPRMC,190002.00,A,4150.1498575,N,08737.5066223,W,0.078,317.0,041218,0.0,E,A*27\r\"
1543950003031300973,"""$GPRMC,190003.00,A,4150.1498571,N,08737.5066308,W,0.102,111.9,041218,0.0,E,A*2B\r\"
1543950004037900832,"""$GPRMC,190004.00,A,4150.1498830,N,08737.5066445,W,0.108,160.0,041218,0.0,E,A*2F\r\"
1543950005035076228,"""$GPRMC,190005.00,A,4150.1498281,N,08737.5070921,W,0.062,43.1,041218,0.0,E,A*1A\r\n"""
1543950006038955353,"""$GPRMC,190006.00,A,4150.1499153,N,08737.5066712,W,0.089,240.8,041218,0.0,E,A*20\r\"
1543950007039156275,"""$GPRMC,190007.00,A,4150.1494502,N,08737.5094094,W,0.025,213.8,041218,0.0,E,A*28\r\"
1543950008039248662,"""$GPRMC,190008.00,A,4150.1493507,N,08737.5099899,W,0.045,169.7,041218,0.0,E,A*2A\r\"
1543950009043511287,"""$GPRMC,190009.00,A,4150.1499382,N,08737.5066926,W,0.024,356.1,041218,0.0,E,A*20\r\"
1543950010041876499,"""$GPRMC,190010.00,A,4150.1493864,N,08737.5096793,W,0.085,112.9,041218,0.0,E,A*2F\r\"
1543950011043892108,"""$GPRMC,190011.00,A,4150.1493191,N,08737.5099944,W,0.099,260.4,041218,0.0,E,A*20\r\"
1543950012034828314,"""$GPRMC,190012.00,A,4150.1492852,N,08737.5101389,W,0.043,167.4,041218,0.0,E,A*2C\r\"
1543950013035965464,"""$GPRMC,190013.00,A,4150.1492997,N,08737.5100008,W,0.062,85.2,041218,0.0,E,A*16\r\n"""
1543950014042648371,"""$GPRMC,190014.00,A,4150.1492923,N,08737.5100467,W,0.040,357.6,041218,0.0,E,A*2B\r\"
1543950015042682036,"""$GPRMC,190015.00,A,4150.1490469,N,08737.5096373,W,0.168,250.3,041218,0.0,E,A*2F\r\"
1543950016042684379,"""$GPRMC,190016.00,A,4150.1499544,N,08737.5071454,W,0.038,337.6,041218,0.0,E,A*21\r\"
1543950017038912414,"""$GPRMC,190017.00,A,4150.1499167,N,08737.5070755,W,0.076,358.8,041218,0.0,E,A*2B\r\"
1543950018038744533,"""$GPRMC,190018.00,A,4150.1498986,N,08737.5070582,W,0.091,92.7,041218,0.0,E,A*19\r\n"""
1543950019040081669,"""$GPRMC,190019.00,A,4150.1499631,N,08737.5074183,W,0.108,63.8,041218,0.0,E,A*1B\r\n"""
1543950020038458686,"""$GPRMC,190020.00,A,4150.1499702,N,08737.5074791,W,0.012,54.5,041218,0.0,E,A*16\r\n"""
1543950021042116340,"""$GPRMC,190021.00,A,4150.1499785,N,08737.5075988,W,0.097,214.6,041218,0.0,E,A*27\r\"
1543950022037925427,"""$GPRMC,190022.00,A,4150.1499430,N,08737.5074793,W,0.165,323.6,041218,0.0,E,A*25\r\"
1543950023038465388,"""$GPRMC,190023.00,A,4150.1499066,N,08737.5073830,W,0.060,278.6,041218,0.0,E,A*29\r\"
1543950024038509250,"""$GPRMC,190024.00,A,4150.1498817,N,08737.5073514,W,0.011,184.5,041218,0.0,E,A*2F\r\"
1543950025042775047,"""$GPRMC,190025.00,A,4150.1498810,N,08737.5073902,W,0.085,264.5,041218,0.0,E,A*22\r\"
1543950026042725051,"""$GPRMC,190026.00,A,4150.1498694,N,08737.5074288,W,0.050,20.4,041218,0.0,E,A*16\r\n"""
1543950027042376175,"""$GPRMC,190027.00,A,4150.1498303,N,08737.5073285,W,0.116,124.5,041218,0.0,E,A*21\r\"
1543950028039560366,"""$GPRMC,190028.00,A,4150.1498071,N,08737.5073093,W,0.160,229.5,041218,0.0,E,A*22\r\"
1543950029038513271,"""$GPRMC,190029.00,A,4150.1497957,N,08737.5073222,W,0.090,60.7,041218,0.0,E,A*1A\r\n"""
1543950030042440817,"""$GPRMC,190030.00,A,4150.1497450,N,08737.5073178,W,0.454,187.3,041218,0.0,E,A*24\r\"
1543950031036384474,"""$GPRMC,190031.00,A,4150.1493131,N,08737.5066285,W,1.846,168.2,041218,0.0,E,A*28\r\"
1543950032035548415,"""$GPRMC,190032.00,A,4150.1478377,N,08737.5070450,W,3.517,181.7,041218,0.0,E,A*2E\r\"
1543950033034729755,"""$GPRMC,190033.00,A,4150.1475071,N,08737.5065276,W,4.285,175.7,041218,0.0,E,A*21\r\"
1543950034038361477,"""$GPRMC,190034.00,A,4150.1455464,N,08737.5068792,W,4.742,174.0,041218,0.0,E,A*2E\r\"
1543950035035713038,"""$GPRMC,190035.00,A,4150.1441165,N,08737.5067894,W,5.193,174.8,041218,0.0,E,A*2B\r\"
